Function stats for (Thread) (12): 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..hon3.8/threading.py:859 Thread.run  1      0.000077  72.23678  72.23678
App.py:116 App.thread_func            1      0.001724  72.23671  72.23671
..y:30 FeatureGenerator.get_features  2      0.038076  72.17297  36.08649
..MultiDataset_wlist.process_comment  140    0.148700  39.98199  0.285586
..das/core/reshape/merge.py:57 merge  4842   0.032752  39.19786  0.008095
...py:680 _MergeOperation.get_result  4842   0.092055  25.92765  0.005355
..list_utils.py:36 glob_intersection  1849   0.036789  13.54282  0.007324
..ge.py:581 _MergeOperation.__init__  4842   0.067157  13.23745  0.002734
..py:82 EmoLex_wlist.process_comment  140    0.038404  12.77329  0.091238
..891 _MergeOperation._get_join_info  4842   0.050417  12.58761  0.002600
.._MergeOperation._get_join_indexers  4842   0.042063  11.73550  0.002424
..pe/merge.py:1390 get_join_indexers  4842   0.086422  11.69343  0.002415
../core/frame.py:4175 DataFrame.drop  9070   0.024207  10.93966  0.001206
..s/core/indexes/base.py:250 __new__  855..  1.471995  10.91841  0.000128
..ore/generic.py:4123 DataFrame.drop  9070   0.048510  10.91546  0.001203
..neric.py:4159 DataFrame._drop_axis  9070   0.077311  10.46328  0.001154
..76 _MergeOperation._get_merge_keys  4842   0.059662  9.421908  0.001946
..rame.py:2987 DataFrame.__getitem__  45806  0.239255  8.977628  0.000196
..hape/merge.py:1957 _factorize_keys  9684   0.588239  8.510551  0.000879
..es/base.py:2791 Index.intersection  8274   0.055429  8.399820  0.001015
..4 DataFrame._drop_labels_or_levels  4842   0.035417  7.829971  0.001617
..s/base.py:2843 Index._intersection  8274   0.148951  7.657027  0.000925
..27 EmoLex_wlist._get_affect_subset  2600   0.037604  7.437381  0.002861
..as/util/_decorators.py:310 wrapper  10251  0.016331  6.324054  0.000617
..re/frame.py:4154 DataFrame.reindex  10249  0.049805  6.305839  0.000615
..t.py:35 concatenate_block_managers  4842   0.110540  6.249136  0.001291
..ore/generic.py:4561 Series.reindex  10251  0.123142  6.169897  0.000602
..tiDataset_wlist._get_affect_subset  572    0.051872  6.149709  0.010751
..:1260 BlockManager.reindex_indexer  18361  0.101465  6.011997  0.000327
..re/reshape/merge.py:1413 <genexpr>  9684   0.129646  5.791049  0.000598
..as/core/algorithms.py:1661 take_nd  59286  0.637419  5.493150  0.000093
..xes/base.py:3142 Index.get_indexer  263..  0.196915  5.344611  0.000203
...py:3782 DataFrame._get_item_cache  79421  0.330841  5.302157  0.000067
..me.py:4008 DataFrame._reindex_axes  10145  0.032831  5.301519  0.000523
..ops/common.py:50 Series.new_method  8216   0.031358  5.298696  0.000645
..3049 DataFrame._getitem_bool_array  8216   0.046563  5.278767  0.000642
../series.py:4939 Series._cmp_method  8216   0.041684  5.192129  0.000632
..py:2153 _items_overlap_with_suffix  4842   0.015419  5.036006  0.001040
..tool/wlist_utils.py:9 get_mean_std  9772   0.025615  4.795220  0.000491
..ing.py:2158 _AtIndexer.__setitem__  31296  0.086513  4.714871  0.000151
..core/arraylike.py:27 Series.__eq__  7164   0.010350  4.711904  0.000658
..py:82 BSMVAD_wlist.process_comment  140    0.011059  4.663943  0.033314
..ing.py:2105 _AtIndexer.__setitem__  31296  0.189852  4.531668  0.000145
../indexes/base.py:5836 ensure_index  135..  0.156706  4.439091  0.000033
..py:84 EmoVAD_wlist.process_comment  140    0.012000  4.420979  0.031578
..:3590 DataFrame._take_with_is_copy  8216   0.034042  4.310118  0.000525
..1 DataFrame._reindex_with_indexers  10145  0.087954  4.255118  0.000419
..frame.py:3248 DataFrame._set_value  31296  0.128796  4.168453  0.000133
..dexes/base.py:5566 RangeIndex.drop  9070   0.098370  4.145568  0.000457
..py:78 EmoAff_wlist.process_comment  140    0.013828  4.132767  0.029520
..ore/generic.py:3491 DataFrame.take  8216   0.060449  3.865236  0.000470
..s/core/dtypes/base.py:254 is_dtype  656..  0.770124  3.744761  0.000006
../blocks.py:1368 FloatBlock.take_nd  33468  0.156818  3.715666  0.000111
..e_tool/wlist_utils.py:17 std_check  6590   0.036602  3.656620  0.000555
..t.py:78 MPQA_wlist.process_comment  140    0.008831  3.524790  0.025177
..eOperation._validate_specification  4842   0.021185  3.519457  0.000727
..py:4045 DataFrame._reindex_columns  4842   0.015527  3.425742  0.000708
..ops/array_ops.py:194 comparison_op  8216   0.080530  3.316700  0.000404
..managers.py:1454 BlockManager.take  8216   0.148412  3.139105  0.000382
..n.py:1470 is_extension_array_dtype  672..  1.075970  3.001676  0.000004
